Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP
"Kendrick, H",WSH,3B,121,334,61,115,23,1,17,62,27,49,0.344,0.395
"Anderson, T",CWS,SS,123,498,81,167,32,0,18,56,15,109,0.335,0.357
"Arraez, L",MIN,2B,92,326,54,109,20,1,4,28,36,29,0.334,0.399
"Solano, D",SF,SS,81,215,27,71,13,1,4,23,10,49,0.33,0.36
"Yelich, C",MIL,RF,130,489,100,161,29,3,44,97,80,118,0.329,0.429
"Marte, K",ARI,CF,144,569,97,187,36,9,32,92,53,86,0.329,0.389
"LeMahieu, D",NYY,2B,145,602,109,197,33,2,26,102,46,90,0.327,0.375
"Rendon, A",WSH,3B,146,545,117,174,44,3,34,126,80,86,0.319,0.412
"McNeil, J",NYM,LF,133,510,83,162,38,1,23,75,35,75,0.318,0.384
"Tatis Jr., F",SD,SS,84,334,61,106,13,6,22,53,30,110,0.317,0.379
"Flores, W",ARI,2B,89,265,31,84,18,0,9,37,15,31,0.317,0.361
"Moncada, Y",CWS,3B,132,511,83,161,34,5,25,79,40,154,0.315,0.367
"Freese, D",LAD,1B,79,162,35,51,13,0,11,29,23,44,0.315,0.403
"Arenado, N",COL,3B,155,588,102,185,31,2,41,118,62,93,0.315,0.379
"Urshela, G",NYY,3B,132,442,73,139,34,0,21,74,25,87,0.314,0.355
"Blackmon, C",COL,RF,140,580,112,182,42,7,32,86,40,104,0.314,0.364
"Reynolds, B",PIT,LF,134,491,83,154,37,4,16,68,46,121,0.314,0.377
"Alvarez, Y",HOU,OF,87,313,58,98,26,0,27,78,52,94,0.313,0.412
"Brantley, M",HOU,LF,148,575,88,179,40,2,22,90,51,66,0.311,0.372
"Bichette, B",TOR,SS,46,196,32,61,18,0,11,21,14,50,0.311,0.358
"Devers, R",BOS,3B,156,647,129,201,54,4,32,115,48,119,0.311,0.361
"Cruz, N",MIN,DH,120,454,81,141,26,0,41,108,56,131,0.311,0.392
"Bogaerts, X",BOS,SS,155,614,110,190,52,0,33,117,76,122,0.309,0.384
"Newman, K",PIT,SS,130,493,61,152,20,6,12,64,28,62,0.308,0.353
"Davis, J",NYM,3B,140,410,65,126,22,1,22,57,38,97,0.307,0.369
"Alberto, H",BAL,2B,139,524,62,160,21,2,12,51,16,50,0.305,0.329
"Bellinger, C",LAD,RF,156,558,121,170,34,3,47,115,95,108,0.305,0.406
"Martinez, J",BOS,LF,146,575,98,175,33,2,36,105,72,138,0.304,0.383
"Reyes, V",DET,LF,69,276,29,84,16,5,3,25,14,64,0.304,0.336
"Dickerson, C",PHI,LF,78,260,33,79,28,2,12,59,16,56,0.304,0.341
"Edman, T",STL,SS,92,326,59,99,17,7,11,36,16,61,0.304,0.35
"Hiura, K",MIL,2B,84,314,51,95,23,2,19,49,25,107,0.303,0.368
"Merrifield, W",KC,2B,162,681,105,206,41,10,16,74,45,126,0.302,0.348
"Dahl, D",COL,LF,100,374,67,113,28,5,15,61,28,110,0.302,0.353
"Altuve, J",HOU,2B,124,500,89,149,27,3,31,74,41,82,0.298,0.353
"Gurriel, Y",HOU,1B,144,564,85,168,40,2,31,104,37,65,0.298,0.343
"Turner, T",WSH,SS,122,521,96,155,37,5,19,57,43,113,0.298,0.353
"Holt, B",BOS,2B,87,259,38,77,14,2,3,31,28,57,0.297,0.369
"Pence, H",TEX,DH,83,286,53,85,17,1,18,59,26,69,0.297,0.358
"Bregman, A",HOU,3B,156,554,122,164,37,2,41,112,119,83,0.296,0.423
"Albies, O",ATL,2B,160,640,102,189,43,8,24,86,54,112,0.295,0.352
"Joyce, M",ATL,LF,129,200,32,59,10,0,7,23,38,45,0.295,0.408
"Marte, S",PIT,CF,132,539,97,159,31,6,23,82,25,94,0.295,0.342
"Betts, M",BOS,RF,150,597,135,176,40,5,29,80,97,101,0.295,0.391
"Freeman, F",ATL,1B,158,597,113,176,34,2,38,121,87,127,0.295,0.389
"Polanco, J",MIN,SS,153,631,107,186,40,7,22,79,60,116,0.295,0.356
"La Stella, T",LAA,2B,80,292,49,86,8,0,16,44,20,28,0.295,0.346
"Verdugo, A",LAD,CF,106,343,43,101,22,2,12,44,26,49,0.294,0.342
"Story, T",COL,SS,145,588,111,173,38,5,35,85,58,174,0.294,0.363
"Solak, N",TEX,2B,33,116,19,34,6,1,5,17,15,29,0.293,0.393
"Rizzo, A",CHC,1B,146,512,89,150,29,3,27,94,71,86,0.293,0.405
"Springer, G",HOU,RF,122,479,96,140,20,3,39,96,67,113,0.292,0.383
"Trout, M",LAA,CF,134,470,110,137,27,2,45,104,110,120,0.291,0.438
"Castro, H",DET,3B,97,354,30,103,10,4,5,38,9,86,0.291,0.305
"Mancini, T",BAL,RF,154,602,106,175,38,2,35,97,63,143,0.291,0.364
"Meadows, A",TB,RF,138,530,83,154,29,7,33,89,54,131,0.291,0.364
"Sogard, E",TB,2B,110,396,59,115,23,2,13,40,38,63,0.29,0.353
"Fletcher, D",LAA,3B,154,596,83,173,30,4,6,49,55,64,0.29,0.35
"Turner, J",LAD,3B,135,479,80,139,24,0,27,67,51,88,0.29,0.372
"Castellanos, N",CHC,RF,151,615,100,178,58,3,27,73,41,143,0.289,0.337
"Naquin, T",CLE,RF,89,274,34,79,19,0,10,34,14,66,0.288,0.325
"Laureano, R",OAK,CF,123,434,79,125,29,0,24,67,27,123,0.288,0.34
"Iglesias, J",CIN,SS,146,504,62,145,21,3,11,59,20,70,0.288,0.318
"Ramos, W",NYM,C,141,473,52,136,19,0,14,73,44,69,0.288,0.351
"Rosario, A",NYM,SS,157,616,75,177,30,7,15,72,31,124,0.287,0.323
"Ohtani, S",LAA,DH,106,384,51,110,20,5,18,62,33,110,0.286,0.343
"Braun, R",MIL,LF,144,459,70,131,31,2,22,75,34,105,0.285,0.343
"Markakis, N",ATL,RF,116,414,61,118,25,2,9,62,47,59,0.285,0.356
"Semien, M",OAK,SS,162,657,123,187,43,7,33,92,87,102,0.285,0.369
"Maybin, C",NYY,LF,82,239,48,68,17,0,11,32,30,72,0.285,0.364
"Wong, K",STL,2B,148,478,61,136,25,4,11,59,47,83,0.285,0.361
"Lindor, F",CLE,SS,143,598,101,170,40,2,32,74,46,98,0.284,0.335
"Abreu, J",CWS,1B,159,634,85,180,38,1,33,123,36,152,0.284,0.33
"Rojas, M",MIA,SS,132,483,52,137,29,1,5,46,32,62,0.284,0.331
"Santana, D",TEX,2B,130,474,81,134,23,6,28,81,25,151,0.283,0.324
"Smith, D",NYM,1B,89,177,35,50,10,0,11,25,19,44,0.282,0.355
"Soto, J",WSH,LF,150,542,110,153,32,5,34,110,108,132,0.282,0.401
"Garcia, A",TB,RF,125,489,61,138,25,2,20,72,31,125,0.282,0.332
"Cabrera, M",DET,1B,136,493,41,139,21,0,12,59,48,108,0.282,0.346
"Bryant, K",CHC,3B,147,543,108,153,35,1,31,77,74,145,0.282,0.382
"Santana, C",CLE,1B,158,573,110,161,30,1,34,93,108,108,0.281,0.397
"Cooper, G",MIA,RF,107,381,52,107,16,1,15,50,33,110,0.281,0.344
"Romine, A",NYY,C,72,228,29,64,12,0,8,35,10,50,0.281,0.31
"Baez, J",CHC,SS,138,531,89,149,38,4,29,85,28,156,0.281,0.316
"Cabrera, M",PIT,RF,133,378,43,106,22,1,7,47,17,41,0.28,0.313
"Acuna Jr., R",ATL,LF,156,626,127,175,22,2,41,101,76,188,0.28,0.365
"Segura, J",PHI,SS,144,576,79,161,37,4,12,60,30,73,0.28,0.323
"Hernandez, C",PHI,2B,161,612,77,171,31,3,14,71,45,100,0.279,0.333
"Dozier, H",KC,3B,139,523,75,146,29,10,26,84,55,148,0.279,0.348
"Eaton, A",WSH,RF,151,566,103,158,25,7,15,49,65,106,0.279,0.365
"Garcia, L",CWS,CF,140,577,93,161,27,3,8,40,21,139,0.279,0.31
"Correa, C",HOU,SS,75,280,42,78,16,1,21,59,35,75,0.279,0.358
"Murphy, D",COL,1B,132,438,56,122,35,1,13,78,32,74,0.279,0.328
"Torres, G",NYY,SS,144,546,96,152,26,0,38,90,48,129,0.278,0.337
"Holaday, B",MIA,C,43,115,12,32,6,0,4,12,11,21,0.278,0.344
"Narvaez, O",SEA,C,132,428,63,119,12,0,22,55,47,92,0.278,0.353
"Frazier, A",PIT,2B,152,554,80,154,33,7,10,50,40,75,0.278,0.336
"Gurriel Jr., L",TOR,LF,84,314,52,87,19,2,20,50,20,86,0.277,0.327
"Bell, J",PIT,1B,143,527,94,146,37,3,37,116,74,118,0.277,0.367
"Tauchman, M",NYY,CF,87,260,46,72,18,1,13,47,34,71,0.277,0.361
"Freeman, M",CLE,2B,75,177,27,49,8,0,4,24,22,61,0.277,0.362
"Moran, C",PIT,3B,149,466,46,129,30,1,13,80,30,117,0.277,0.322
"Vazquez, C",BOS,C,138,482,66,133,26,1,23,72,33,101,0.276,0.32
"Dickerson, A",SF,LF,68,174,29,48,13,3,6,28,13,42,0.276,0.332
"Rosario, E",MIN,LF,137,562,91,155,28,1,32,109,22,86,0.276,0.3
"Luplow, J",CLE,RF,85,225,42,62,15,1,15,38,33,61,0.276,0.372
"Ramirez, H",MIA,CF,119,421,54,116,20,3,11,50,18,91,0.276,0.312
"Reddick, J",HOU,RF,141,501,57,138,19,3,14,56,36,66,0.275,0.319
